var0,var1,var2,var3,var4,var5,var6,var7,var8,Class
144,7.001,-7.0846,0.66792,0.33349,0.33364,0.33374,0.33399,0.33321,1
145,6.6518,-7.3231,0.66729,0.33301,0.33311,0.33342,0.33343,0.33395,1
146,6.7997,-6.5839,0.66783,0.33349,0.33367,0.33306,0.33352,0.33375,1
147,6.8477,-6.438,0.66792,0.3338,0.33398,0.33388,0.33386,0.33367,1
148,6.7188,-7.3303,0.66774,0.33349,0.33306,0.33354,0.33325,0.33339,1
149,6.8415,-6.3491,0.66779,0.33327,0.33385,0.3338,0.33374,0.33336,1
150,6.7062,-7.089,0.66759,0.33346,0.33398,0.33372,0.3338,0.33312,1
151,6.9623,-6.7617,0.66795,0.33338,0.33358,0.33371,0.33376,0.3338,1
152,6.9334,-7.4147,0.66729,0.33389,0.33346,0.33334,0.33375,0.33337,1
153,6.2812,-6.5675,0.66745,0.33344,0.33378,0.33362,0.33338,0.33314,1
154,6.971,-6.5875,0.66789,0.33361,0.33327,0.33355,0.33304,0.33327,1
155,6.4736,-7.2301,0.6678,0.33397,0.33396,0.33393,0.33306,0.33358,1
156,6.821,-7.009,0.66742,0.33302,0.33375,0.33373,0.33379,0.33332,1
157,6.3474,-6.6478,0.66791,0.33309,0.33399,0.33331,0.33315,0.33338,1
158,6.5351,-7.2115,0.66785,0.33374,0.33305,0.33354,0.33364,0.33382,1
159,6.5383,-6.5908,0.66745,0.33337,0.33384,0.33318,0.33305,0.33396,1
160,6.463,-6.8675,0.66776,0.33337,0.3332,0.33342,0.3331,0.3337,1
161,6.7767,-6.6653,0.66724,0.33364,0.33318,0.33319,0.33357,0.33307,1
162,6.6248,-6.5777,0.66713,0.33354,0.33365,0.33325,0.33347,0.33306,1
163,6.4082,-7.0575,0.66734,0.33323,0.33373,0.33364,0.33374,0.33339,1
164,5.9103,-7.1315,0.66753,0.33398,0.33323,0.33393,0.33396,0.33338,1
165,6.5673,-7.3457,0.66732,0.33375,0.33341,0.33316,0.33377,0.33379,1
166,6.2588,-7.4343,0.66711,0.33376,0.33345,0.33323,0.33307,0.33359,1
167,5.7855,-6.8415,0.66727,0.33317,0.33384,0.3338,0.33371,0.33347,1
168,6.7141,-6.9818,0.66705,0.33383,0.33397,0.33365,0.33383,0.33369,1
169,6.6732,-7.1969,0.66752,0.33333,0.3339,0.33305,0.33305,0.33305,1
170,6.5931,-7.4676,0.66797,0.33347,0.33331,0.33362,0.33377,0.33377,1
171,5.7022,-7.3834,0.66718,0.33381,0.33352,0.33345,0.33388,0.33316,1
172,5.7515,-7.1607,0.66777,0.33371,0.33323,0.33354,0.33358,0.33379,1
173,5.6592,-6.9643,0.66789,0.33357,0.33332,0.33329,0.33394,0.33388,1
174,5.9525,-7.2481,0.66746,0.33351,0.33391,0.3338,0.33391,0.33338,1
175,6.1169,-7.499,0.66789,0.333,0.33304,0.33323,0.33323,0.33336,1
176,5.7239,-7.7037,0.66755,0.33378,0.33311,0.33324,0.33372,0.33396,1
177,6.1766,-7.1477,0.66718,0.33359,0.33366,0.33388,0.3339,0.33378,1
178,6.3703,-7.1335,0.66766,0.3336,0.33397,0.33393,0.33344,0.33341,1
179,6.0808,-7.3485,0.668,0.33325,0.33389,0.33372,0.3331,0.33361,1
180,6.0443,-7.4611,0.66702,0.33379,0.33361,0.33322,0.3337,0.33352,1
181,6.1045,-7.6154,0.66723,0.33349,0.33328,0.33306,0.33342,0.3336,1
182,5.8325,-7.04,0.66787,0.33369,0.33388,0.33366,0.33366,0.333,1
183,5.6984,-7.0972,0.66778,0.33357,0.33333,0.33321,0.33375,0.33302,1
184,6.0271,-7.6391,0.66772,0.33355,0.33382,0.33331,0.33348,0.33351,1
185,5.9129,-7.3273,0.66765,0.33316,0.33396,0.33308,0.33323,0.33395,1
186,6.1603,-6.9407,0.66767,0.33356,0.33309,0.33357,0.33342,0.3339,1
187,5.6102,-7.7885,0.66778,0.33348,0.3335,0.3334,0.33305,0.3335,1
188,6.0835,-7.734,0.66728,0.33342,0.33335,0.3336,0.33364,0.33355,1
189,6.267,-7.4969,0.66719,0.33308,0.3335,0.33397,0.33365,0.33393,1
190,6.0062,-7.3495,0.66706,0.33374,0.33397,0.33368,0.33339,0.33387,1
191,5.6102,-7.4582,0.6679,0.33355,0.33357,0.33367,0.33324,0.33338,1
192,5.3616,-7.7158,0.66753,0.33349,0.33392,0.33366,0.33345,0.33314,1
193,5.2983,-6.9879,0.66719,0.33312,0.3331,0.33358,0.33332,0.33315,1
194,5.696,-7.1604,0.66787,0.33306,0.33385,0.33309,0.3335,0.33346,1
195,5.3552,-7.2819,0.66726,0.33394,0.33311,0.33395,0.33366,0.33346,1
196,5.2052,-7.6348,0.66729,0.33329,0.33382,0.33347,0.33379,0.33323,1
197,5.3832,-7.3305,0.66778,0.33366,0.33354,0.33389,0.33326,0.33356,1
198,5.3247,-7.509,0.667,0.33389,0.33311,0.3331,0.3338,0.33397,1
199,5.2806,-7.9815,0.66778,0.33358,0.33366,0.33368,0.33384,0.33321,1
200,5.8134,-8.0252,0.66702,0.3333,0.33318,0.3338,0.33337,0.33304,1
201,5.6902,-7.9151,0.66736,0.3335,0.33382,0.33378,0.33318,0.33341,1
202,5.5483,-7.7529,0.66783,0.33338,0.3339,0.33346,0.33315,0.33325,1
203,5.382,-7.9684,0.66798,0.33377,0.33374,0.33391,0.33321,0.33329,1
204,5.5639,-7.7356,0.66793,0.33395,0.33313,0.33396,0.33351,0.33301,1
205,4.9767,-7.9887,0.66712,0.33314,0.33389,0.33396,0.33394,0.3333,1
206,5.6309,-7.9809,0.66784,0.33391,0.33373,0.33309,0.33315,0.33327,1
207,5.724,-7.5072,0.66745,0.33355,0.33327,0.33349,0.33312,0.33353,1
208,4.995,-7.2018,0.66785,0.3332,0.33348,0.33336,0.33302,0.33383,1
209,5.1857,-7.7858,0.66759,0.33318,0.33321,0.33372,0.33329,0.3339,1
210,4.9872,-7.4449,0.6677,0.33377,0.33354,0.33353,0.33383,0.33318,1
211,5.6827,-7.5548,0.66704,0.33323,0.33358,0.33335,0.3337,0.33374,1
212,5.2069,-7.4541,0.66782,0.33333,0.33312,0.33322,0.33327,0.33392,1
213,4.803,-7.1772,0.66755,0.33364,0.33365,0.33395,0.33316,0.33302,1
214,4.9301,-7.1934,0.66743,0.33305,0.33308,0.33397,0.33352,0.33382,1
215,5.1323,-8.0281,0.66724,0.33368,0.33351,0.33327,0.33364,0.33389,1
216,4.7832,-7.8423,0.66799,0.33389,0.3338,0.333,0.33365,0.33349,1
217,5.2533,-7.6401,0.66789,0.33363,0.33315,0.33383,0.3332,0.33378,1
218,4.7267,-7.8632,0.66791,0.33329,0.33335,0.3339,0.33325,0.33394,1
219,4.8048,-7.3031,0.66753,0.3336,0.33385,0.33398,0.33381,0.3337,1
220,5.2053,-7.3458,0.66715,0.33371,0.33333,0.33318,0.33351,0.33393,1
221,5.2385,-7.8115,0.66761,0.334,0.33344,0.33393,0.33311,0.33332,1
222,5.2672,-8.0456,0.66706,0.33395,0.33353,0.3337,0.33338,0.33353,1
223,4.7163,-7.9043,0.66715,0.33376,0.33314,0.33313,0.33376,0.33304,1
224,4.7032,-7.7827,0.66779,0.33363,0.33391,0.33392,0.33397,0.333,1
225,5.0305,-7.9335,0.66775,0.33357,0.33345,0.33385,0.33317,0.33326,1
226,4.8417,-8.1221,0.66705,0.33392,0.33358,0.33367,0.33302,0.33362,1
227,4.6014,-8.1465,0.66799,0.33315,0.33365,0.33384,0.33305,0.33385,1
228,4.5031,-7.8818,0.66738,0.33317,0.33353,0.3331,0.33345,0.33377,1
229,5.3323,-8.1446,0.66752,0.3334,0.33345,0.3333,0.33327,0.33302,1
230,4.7682,-7.4377,0.66795,0.33358,0.33373,0.33317,0.3337,0.33365,1
231,4.8769,-7.5161,0.66772,0.33333,0.33324,0.33398,0.33326,0.33349,1
232,4.5954,-7.7881,0.66767,0.33391,0.33325,0.33369,0.33365,0.33333,1
233,4.4864,-8.1391,0.66786,0.33386,0.33368,0.33363,0.33333,0.33368,1
234,5.1477,-7.5126,0.66781,0.33363,0.33374,0.33357,0.3334,0.33388,1
235,4.6859,-7.9055,0.66736,0.33334,0.33312,0.33378,0.33358,0.33382,1
236,4.1207,-8.0362,0.66716,0.33342,0.33355,0.33377,0.33307,0.33345,1
237,4.5961,-7.9114,0.6679,0.33362,0.33369,0.33306,0.33371,0.33375,1
238,4.7599,-7.7157,0.66778,0.33344,0.3336,0.33308,0.33306,0.33302,1
239,4.7364,-7.459,0.6671,0.33312,0.33376,0.33375,0.33303,0.33339,1
240,4.6276,-7.6411,0.66789,0.33397,0.33393,0.33389,0.33367,0.3334,1
241,4.8408,-8.0362,0.6675,0.33326,0.33387,0.33314,0.33391,0.33362,1
242,4.7716,-8.1446,0.66776,0.3332,0.33388,0.33368,0.33337,0.33318,1
243,4.7422,-7.7364,0.66701,0.33391,0.33373,0.33342,0.33328,0.33321,1
244,4.7821,-7.8154,0.66713,0.33373,0.33359,0.3339,0.33342,0.33346,1
245,4.3262,-8.0648,0.66709,0.33339,0.33333,0.33307,0.33395,0.334,1
246,4.3538,-8.1241,0.66738,0.334,0.33319,0.33314,0.33312,0.33398,1
247,4.5794,-7.9042,0.66754,0.33336,0.33398,0.3337,0.33305,0.33343,1
248,4.4586,-8.2937,0.66711,0.33335,0.33329,0.33301,0.33343,0.33313,1
249,4.5463,-8.3642,0.66709,0.33395,0.3337,0.33382,0.33338,0.33321,1
250,4.0926,-8.499,0.66759,0.33347,0.33351,0.3336,0.33322,0.3334,1
251,4.6629,-7.959,0.66784,0.33393,0.33307,0.33343,0.33316,0.33345,1
252,4.5736,-7.5865,0.66797,0.33327,0.33358,0.33338,0.3338,0.33311,1
253,3.8051,-8.3921,0.66764,0.33338,0.33352,0.33354,0.33385,0.33357,1
254,4.6985,-8.0432,0.66731,0.33396,0.33339,0.33341,0.33332,0.33395,1
255,4.2739,-8.1304,0.66755,0.33328,0.33315,0.33318,0.3339,0.33361,1
256,4.5352,-7.866,0.66769,0.33318,0.33388,0.33358,0.33307,0.33333,1
257,4.2876,-7.9087,0.66752,0.33367,0.33313,0.33383,0.33329,0.33325,1
258,4.145,-8.3993,0.66716,0.33372,0.33326,0.33315,0.33338,0.3335,1
259,4.5784,-7.8192,0.66715,0.33363,0.33342,0.33332,0.3336,0.3336,1
260,3.7436,-7.986,0.66757,0.33342,0.33371,0.33352,0.33307,0.33319,1
261,4.3695,-7.7805,0.66722,0.3339,0.33376,0.33325,0.33328,0.33363,1
262,4.1383,-7.8371,0.66751,0.33317,0.33386,0.33309,0.33347,0.33313,1
263,4.2981,-8.3624,0.66705,0.33321,0.33324,0.3332,0.3338,0.3335,1
264,4.2301,-8.0744,0.66759,0.33339,0.3335,0.33357,0.33374,0.33325,1
265,4.2659,-8.1527,0.6673,0.3339,0.33369,0.33337,0.33354,0.33353,1
266,4.0031,-8.4279,0.66727,0.33356,0.33333,0.33328,0.33384,0.33373,1
267,3.4627,-8.4454,0.66739,0.33302,0.33312,0.33335,0.33314,0.33366,1
268,3.3632,-8.3141,0.66796,0.33344,0.33322,0.33309,0.3331,0.33332,1
269,4.2899,-7.8805,0.66774,0.3337,0.33309,0.33389,0.33321,0.33339,1
270,4.182,-7.9395,0.66773,0.33396,0.33376,0.33358,0.33347,0.33322,1
271,3.9335,-8.1871,0.66778,0.33313,0.33352,0.33334,0.33398,0.33321,1
272,4.2015,-7.7263,0.66751,0.33337,0.33333,0.33342,0.33397,0.33328,1
273,3.3087,-8.1178,0.66717,0.33319,0.33306,0.33332,0.33364,0.33397,1
274,4.0091,-7.9273,0.66715,0.3338,0.33341,0.33313,0.33367,0.33355,1
275,3.3784,-8.3536,0.66794,0.3337,0.3337,0.33303,0.33357,0.33317,1
276,3.3776,-8.2206,0.66752,0.33367,0.33369,0.33348,0.33356,0.33306,1
277,3.481,-7.9322,0.66797,0.3332,0.3336,0.33379,0.33336,0.33321,1
278,3.4983,-7.7191,0.6673,0.33392,0.33368,0.33317,0.33394,0.33324,1
279,3.8485,-8.3603,0.66762,0.33372,0.33317,0.33357,0.33308,0.33314,1
280,3.1254,-8.7169,0.66798,0.33308,0.33324,0.33372,0.33349,0.33393,1
281,3.0164,-8.6912,0.66773,0.33349,0.33369,0.33384,0.334,0.33341,1
282,3.6741,-7.9598,0.66749,0.33332,0.3331,0.33304,0.3334,0.33305,1
283,3.542,-8.5771,0.66733,0.33375,0.3336,0.33365,0.33357,0.33389,1
284,3.6972,-8.1504,0.66782,0.33394,0.33354,0.33327,0.33338,0.33369,1
285,3.7315,-7.9006,0.66751,0.3331,0.3331,0.33386,0.33393,0.3332,1
286,3.7009,-7.9772,0.66744,0.33341,0.33352,0.33363,0.33362,0.3332,1
287,3.1834,-7.9032,0.66799,0.33382,0.33322,0.33338,0.33396,0.3336,1
288,3.5642,-8.136,0.66725,0.33316,0.33338,0.33361,0.33369,0.33324,1
289,3.2848,-8.3746,0.66792,0.33309,0.3335,0.33392,0.33349,0.33384,1
290,3.1443,-8.4205,0.66723,0.33364,0.33364,0.33356,0.3334,0.33375,1
291,2.9165,-7.8451,0.66706,0.33391,0.33341,0.33374,0.33316,0.33315,1
292,3.4573,-8.5381,0.66716,0.33339,0.33319,0.33379,0.33387,0.3336,1
293,2.9881,-7.8476,0.66756,0.33384,0.33337,0.33383,0.33375,0.33386,1
294,2.818,-8.4828,0.66751,0.3338,0.33399,0.33307,0.33329,0.33377,1
295,3.0269,-8.4493,0.66731,0.33319,0.33392,0.33396,0.3334,0.33339,1
296,2.8685,-8.1164,0.66733,0.33395,0.33388,0.33318,0.33334,0.33364,1
297,3.5584,-7.8942,0.6674,0.33351,0.334,0.33349,0.33312,0.33303,1
298,3.3289,-7.9075,0.66772,0.33391,0.33305,0.33321,0.33346,0.33381,1
299,2.9222,-7.8606,0.66793,0.33376,0.33307,0.33368,0.33389,0.33368,1
300,2.835,-8.3883,0.66757,0.33322,0.33377,0.33378,0.33368,0.33311,1
301,3.4216,-8.0349,0.66702,0.33358,0.33355,0.33308,0.33381,0.3337,1
302,3.1652,-8.6158,0.66791,0.33306,0.33322,0.3337,0.33359,0.33307,1
303,2.6799,-8.5676,0.66713,0.33316,0.33388,0.3336,0.33381,0.33357,1
304,3.0123,-7.9549,0.66799,0.33362,0.33396,0.33388,0.33316,0.33323,1
305,3.341,-8.7,0.66774,0.33395,0.33391,0.33316,0.3334,0.33327,1
306,3.2207,-8.511,0.66702,0.33308,0.33337,0.3339,0.3334,0.33351,1
307,2.5793,-8.5224,0.66713,0.33361,0.3331,0.3338,0.33357,0.33379,1
308,3.0965,-7.9148,0.6672,0.33386,0.33329,0.33322,0.33389,0.33323,1
309,2.9312,-8.7862,0.667,0.3335,0.33302,0.33369,0.33393,0.33323,1
310,2.4062,-8.8195,0.66733,0.33347,0.33374,0.33394,0.33395,0.33312,1
